'Test''Test1''Spell Name','Description 1','Description 2','Description 3','Description 4','Extra','Mana Drain','WAR','CLR','PAL','RNG','SHD','DRU','MNK','BRD','ROG','SHM','NEC','WIZ','MAG','ENC','Casting Time','Fizzle Time','Recovery Time','Indoor/Outdoor','Location','Skill','Duration','Dur Formula','AoE Duration','Pos/Neg','Category','Attrib 1','Min 1','Max 1','Calc 1','Attrib 2','Min 2','Max 2','Calc 2','Attrib 3','Min 3','Max 3','Calc 3','Attrib 4','Min 4','Max 4','Calc 4','Reagent 1','Quantity 1','Reageant 2','Quantity 2','Reageant 3','Quantity 3','Reageant 4','Quantity 4','Focus 1','Focus 2','Resistance','Target','Resist Adj','Gem','Range','AoE Range','Back Range','Up Range'
'Persuade','Attempting to charm (6)','','','','','120','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.50','2.25','0.0','','None','Alteration','0','10','0.0','44','Calm','Charm','6','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','5','2059','200','0','0','0',
'Bolt of Karana','Decrease Hit Points (HP) by 200 (L1)','Decrease Fire Resist by 20 (L1)','Decrease Cold Resist by 20 (L1)','','','234','61','61','61','61','61','61','61','61','61','61','61','61','61','61','6.10','2.50','0.0','Outdoor','None','Evocation','0','0','0.0','43','Striking','Hit Points (HP)','-200','200','','Fire Resist','-20','20','','Cold Resist','-20','20','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2121','200','10','0','0',
'Divine Wrath','Stuns target for 4.0 (L1) seconds','Decrease Hit Points (HP) by 250 (L1)','','','','120','61','61','61','61','61','61','61','61','61','61','61','61','61','61','3.0','2.50','24.0','','None','Evocation','0','0','0.0','44','Stun','Stuns','4000','0','','Hit Points (HP)','-250','250','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2059','200','0','5','0',
'Primal Essence','Increase Agility by 20 (L1)','Increase Dexterity by 20 (L1)','Increase Strength by 20 (L1)','Increase Stamina by 20 (L1)','','100','61','61','61','61','61','61','61','61','61','61','61','61','61','61','5.0','2.25','0.0','','None','Alteration','630','3','0.0','43','Attributes','Agility','20','0','','Dexterity','20','0','','Strength','20','0','','Stamina','20','0','','','1','','1','','1','','1','','','None','All','5','2124','100','0','0','0',
'Summon Lava Diamond','Summoning Lava Diamond','','','','','30','61','61','61','61','61','61','61','61','61','61','61','61','20','61','4.0','2.25','0.0','','None','Conjuration','0','0','0.0','43','Summoning','Summon Item','10198','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','None','Self','25','2106','0','0','0','0',
'Alluring Whispers','Attempting to charm (13)','','','','','245','61','61','61','61','61','61','61','61','61','61','61','61','61','61','6.0','2.25','0.0','','None','Alteration','0','10','0.0','44','Calm','Charm','13','0','','','0','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2059','200','0','0','0',
'Soul Well','','','Hit Points (HP) - Unknown Formula','','','360','61','61','61','61','61','61','61','61','61','61','61','61','61','61','7.0','2.50','10.0','','None','Alteration','10','2','0.0','44','Pain','Charisma','0','0','','Charisma','0','0','','Hit Points (HP)','1','0','122','','0','0','','','1','','1','','1','','1','','','Magic','Drain','0','2083','200','0','0','0',
'Flames of Ro','Very Hard to Resist','Decrease Hit Points (HP) by 400 (L60)','','','','320','61','61','61','61','61','61','61','61','61','61','61','60','61','61','4.50','2.50','0.0','','None','Evocation','0','0','0.0','44','Freezing','Charisma','-5','0','','Hit Points (HP)','-400','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Fire','All','0','2053','200','0','0','0',
'Sebilite Pox','Adding 4 Disease counters','Regeneration for between 21 (L1) to 441 (L60) Hit Points (HP) in 21 ticks','Decrease Current Hitpoints by 10 (L1)','','','170','61','61','61','61','61','61','61','61','61','61','61','61','61','61','4.60','2.50','0.0','','None','Conjuration','21','10','0.0','44','Poison Atk','Disease','4','0','','Hit Points (HP)','1','0','min + level /  3','Current Hitpoints','-10','0','','','0','0','','','1','','1','','1','','1','','','Disease','All','15','2050','200','0','0','0',
'Disjunction','Stun','Increase Magnification by 190% (L1)','','','','0','61','61','61','61','61','61','61','61','61','61','61','61','61','61','0.0','0.0','0.0','','None','Evocation','2','1','0.0','44','Stun','Stun','1','0','','Magnification','190','0','','','0','0','','','0','0','','','1','','1','','1','','1','','','Magic','All','0','2059','200','0','0','0',
