Spell Name;Description 1;Description 2;Description 3;Description 4;Description 5;Description 6;Description 7;Description 8;Description 9;Description 10;Description 11;Description 12;Extra;Mana Drain;WAR;CLR;PAL;RNG;SHD;DRU;MNK;BRD;ROG;SHM;NEC;WIZ;MAG;ENC;BST;Casting Time;Fizzle Time;Recovery Time;Indoor/Outdoor;Time;Location;Skill;Duration;Dur Formula;AoE Duration;Pos/Neg;Category;Attrib 1;Min 1;Max 1;Calc 1;Attrib 2;Min 2;Max 2;Calc 2;Attrib 3;Min 3;Max 3;Calc 3;Attrib 4;Min 4;Max 4;Calc 4;Attrib 5;Min 5;Max 5;Calc 5;Attrib 6;Min 6;Max 6;Calc 6;Attrib 7;Min 7;Max 7;Calc 7;Attrib 8;Min 8;Max 8;Calc 8;Attrib 9;Min 9;Max 9;Calc 9;Attrib 10;Min 10;Max 10;Calc 10;Attrib 11;Min 11;Max 11;Calc 11;Attrib 12;Min 12;Max 12;Calc 12;Reagent 1;Quantity 1;Reageant 2;Quantity 2;Reageant 3;Quantity 3;Reageant 4;Quantity 4;Focus 1;Focus 2;Resistance;Target;Resist Adj;Gem;Range;AoE Range;Back Range;Up Range;Spell ID;You Cast;Someone Casts;Cast on You;Cast on Someone;Spell Fades;
Summon Corpse;Summon Corpse;;;;;;;;;;;;;700;61;61;61;61;51;61;61;61;61;61;39;61;61;61;61;5.0;2.25;12.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Corpse;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;Coffin;1;;1;;1;;1;;;None;Self;20;2106;10000;0;0;0;3;;;;;;
Summon Waterstone;Summoning Waterstone (Summoned);;;;;;;;;;;;;40;61;61;61;61;61;61;61;61;61;61;61;61;20;61;61;4.0;2.25;0.0;;;None;Conjuration;0;0;0;0;Summoning;Summon Item;10342;0;min + level /  4;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;25;2106;0;0;0;0;4;;;;;;
Cloak;Cloak;;;;;;;;;;;;;50;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;5.0;2.25;0.0;;;None;Divination;200;3;0;0;Invisi/Gate;Cloak;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Pet;25;2115;100;0;0;0;5;;;; shimmers.;;
Ignite Blood;DoT for 1176 Hit Points (HP) in 21 ticks;;;;;;;;;;;;;250;61;61;61;61;61;61;61;61;61;61;49;61;61;61;61;4.0;2.50;0.0;;;None;Alteration;21;1;0;0;Lifeforce;Hit Points (HP);-56;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Fire;All;25;2119;200;0;0;0;6;;;Your blood ignites.;'s blood ignites.;Your blood cools.;
Hymn of Restoration;Increase Hit Points (HP) from 2 (L6) to 13 (L60);;;;;;;;;;;;;0;61;61;61;61;61;61;61;6;61;61;61;61;61;61;61;3.0;0.0;0.0;;;None;Stringed Instruments;0;5;0;0;Clarity;Hit Points (HP);1;0;min + level /  5;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Full Group;15;2007;0;30;0;0;7;;;Your wounds begin to heal.;;;
Cleanse;Removing 1 Poison counters;Removing 1 Disease counters;Increase Hit Points (HP) by 5 (L1);;;;;;;;;;;0;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;0.0;0.0;0.0;;;None;Alteration;0;0;0;0;50;Poison;-1;0;;Disease;-1;0;;Hit Points (HP);5;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;Self;0;2051;0;0;0;0;8;;;You feel cleansed.;;;
Superior Healing;Increase Hit Points (HP) from 565 (L34) to 583 (L40);;;;;;;;;;;;;250;61;34;57;61;61;51;61;61;61;51;61;61;61;61;61;4.50;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);463;583;min + level *  3;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2051;100;0;0;0;9;;;You feel much better.; feels much better.;;
Augmentation;Increase Attack Speed for between 22% (L29) to 28% (L52) in 270 ticks;Increase Agility from 19 (L29) to 30 (L50);Increase Armor Class (AC) from 6 (L29) to 9 (L50);Decrease Stamina Loss by 2 (L29);;;;;;;;;;90;61;61;61;61;61;61;61;61;61;61;61;61;61;29;61;5.0;2.25;0.0;;;None;Alteration;270;3;0;0;Attributes;Attack Speed;115;128;min + level /  4;Agility;5;30;min + level /  2;Armor Class (AC);5;30;min + level /  2;Stamina Loss;-2;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;10;;;You feel your body pulse with energy.;'s body pulses with energy.;The pulsing energy fades.;
Holy Armor;;;;Increase Armor Class (AC) by 6 (L5);;;;;;;;;;20;61;5;15;61;61;61;61;61;61;61;61;61;61;61;61;2.0;2.25;0.0;;;None;Abjuration;270;3;0;0;Buffing;Charisma;0;0;;Charisma;0;0;;Charisma;0;0;;Armor Class (AC);15;20;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2056;100;0;0;0;11;;;You feel the favor of the gods upon you.; feels the favor of the gods upon them.;You no longer feel blessed.;
Healing;Increase Hit Points (HP) from 84 (L14) to 100 (L30);;;;;;;;;;;;;60;61;14;30;39;61;19;61;61;61;19;61;61;61;61;39;3.0;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);70;100;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2051;100;0;0;0;12;;;You feel much better.; feels much better.;;
Complete Healing;Increase Hit Points (HP) by 10000 (L39);;;;;;;;;;;;;400;61;39;61;61;61;61;61;61;61;61;61;61;61;61;61;10.0;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);10000;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;15;2051;100;0;0;0;13;;;You are completely healed.; is completely healed.;;
Strike;Decrease Hit Points (HP) from 6 (L1) to 8 (L4);;;;;;;;;;;;;12;61;1;61;61;61;61;61;61;61;61;61;61;61;61;61;1.50;2.50;0.0;;;None;Evocation;0;0;0;0;Striking;Hit Points (HP);-6;8;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2119;200;0;0;0;14;;;You have been struck.; is struck.;;
Greater Healing;Increase Hit Points (HP) from 288 (L24) to 300 (L30);;;;;;;;;;;;;150;61;24;39;57;61;29;61;61;61;29;61;61;61;61;57;3.75;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);240;300;min + level *  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2051;100;0;0;0;15;;;You feel much better.; feels much better.;;
Smite;Decrease Hit Points (HP) from 74 (L14) to 83 (L23);;;;;;;;;;;;;70;61;14;61;61;61;61;61;61;61;61;61;61;61;61;61;2.45;2.50;6.0;;;None;Evocation;0;0;0;0;Striking;Hit Points (HP);-60;83;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2119;200;0;1;0;16;;;You have been smitten.; has been smitten.;;
Light Healing;Increase Hit Points (HP) from 26 (L5) to 33 (L18);;;;;;;;;;;;;25;61;5;15;22;61;9;61;61;61;9;61;61;61;61;22;2.0;2.50;0.0;;;None;Alteration;0;0;0;0;Healing;Hit Points (HP);24;33;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2051;100;0;0;0;17;;;You feel better.; feels better.;;
Guard;;;;Increase Armor Class (AC) from 18 (L29) to 20 (L34);;;;;;;;;;80;61;29;39;61;61;61;61;61;61;61;61;61;61;61;61;3.0;2.25;0.0;;;None;Abjuration;450;3;0;0;Buffing;Charisma;0;0;;Charisma;0;0;;Charisma;0;0;;Armor Class (AC);31;65;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2056;100;0;0;0;18;;;You feel the favor of the gods upon you.; feels the favor of the gods upon them.;You no longer feel blessed.;
Armor of Faith;;;;Increase Armor Class (AC) from 24 (L39) to 26 (L44);;;;;;;;;;150;61;39;49;61;61;61;61;61;61;61;61;61;61;61;61;6.0;2.25;0.0;;;None;Abjuration;630;3;0;0;Buffing;Charisma;0;0;;Charisma;0;0;;Charisma;0;0;;Armor Class (AC);41;85;min + level;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;15;2056;100;0;0;0;19;;;You feel the favor of the gods upon you.; feels the favor of the gods upon them.;You no longer feel blessed.;
Shield of Words;;;;Increase Armor Class (AC) by 32 (L49);;;;;;;;;;300;61;49;60;61;61;61;61;61;61;61;61;61;61;61;61;8.0;2.25;0.0;;;None;Abjuration;720;3;0;0;Buffing;Charisma;0;0;;Charisma;0;0;;Charisma;0;0;;Armor Class (AC);105;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;0;2056;100;0;0;0;20;;;You feel the favor of the gods upon you.; feels the favor of the gods upon them.;You no longer feel blessed.;
Berserker Strength;Increase Strength from 20 (L20) to 25 (L30);Increase Absorb Damage from 30 (L20) to 50 (L60);Decrease Agility by -15 (L20);;;;;;;;;;;45;61;61;61;61;61;61;61;61;61;61;61;61;61;20;61;3.0;2.25;8.0;;;None;Alteration;30;7;0;0;Attributes;Strength;10;25;min + level /  2;Absorb Damage;20;0;min + level /  2;Agility;-1;-15;min + level /  2;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;None;All;25;2124;100;0;0;0;21;;;Your muscles bulge with berserker strength.;'s muscles bulge with berserker strength.;You feel your agility return.;
Force Shock;Decrease Hit Points (HP) from 171 (L20) to 179 (L24);Stuns target;;;;;;;;;;;;120;61;61;61;61;61;61;61;61;61;61;61;20;61;61;61;2.80;2.50;12.0;;;None;Evocation;0;0;0;0;Striking;Hit Points (HP);-131;179;min + level *  2;Stuns;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;25;2119;200;0;1;0;22;;;You have been force struck.; has been force struck.;;
Force Strike;Decrease Hit Points (HP) from 545 (L44) to 625 (L60);Stuns target;;;;;;;;;;;;250;61;61;61;61;61;61;61;61;61;61;61;44;61;61;61;5.50;2.50;12.0;;;None;Evocation;0;0;0;0;Striking;Hit Points (HP);-325;625;x 5;Stuns;1;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;1;;1;;1;;1;;;Magic;All;5;2119;200;0;1;0;23;;;You have been force struck.; has been force struck.;;
